,image_id,image_path,concepts,model-generated_caption,human-label_caption,activity
20,u1_20180503_0626_i01,2018_05_03/B00001414_21I6X0_20180503_073249E.JPG,food/cookware and bakeware/small appliance/cuisine/cook/kitchen appliance,a person cooking in a restaurant,gray electric kettle on black wooden table,Cooking
21,u1_20180503_0627_i01,2018_05_03/B00001415_21I6X0_20180503_073312E.JPG,finger/hand/room/arm/thumb/mouth/furniture/muscle/ceiling/fun,a person's hand holding a small object,person holding white plastic pack,Cooking
22,u1_20180503_0627_i02,2018_05_03/B00001417_21I6X0_20180503_073356E.JPG,car/motor vehicle/vehicle/glass/automotive exterior/windshield/window/automotive window part/public transport,a person sitting in a chair,man standing near faucet,Cooking
23,u1_20180503_0628_i00,2018_05_03/B00001419_21I6X0_20180503_073440E.JPG,finger/hand/nail/electronic device,a person holding a remote control,person using smartphone,Using a computer
24,u1_20180503_0629_i02,2018_05_03/B00001420_21I6X0_20180503_073503E.JPG,table/room/dining room/breakfast/furniture/interior design/meal/living room/home/brunch,a plate of food,slice of fish on white plate,Eating
25,u1_20180503_0629_i00,2018_05_03/B00001421_21I6X0_20180503_073526E.JPG,meal/brunch/breakfast/food/cuisine/table/dish/lunch,a person eating a plate of food,orange fruit on white plate,Eating
26,u1_20180503_0629_i01,2018_05_03/B00001422_21I6X0_20180503_073548E.JPG,furniture/room/table/interior design/textile/couch/living room/flooring/chair,a person holding a plate of food,person holding stainless steel fork,Eating
27,u1_20180503_0630_i02,2018_05_03/B00001423_21I6X0_20180503_073610E.JPG,room/property/interior design/table/home/living room/dining room/furniture/suite/window,a table with a plate of food on it,white ceramic mug on table,Eating
28,u1_20180503_0630_i00,2018_05_03/B00001425_21I6X0_20180503_073655E.JPG,cuisine/food/table/meal/asian food/breakfast/dish/brunch,a person making a cake,white ceramic plate on table inside room,Eating
29,u1_20180503_0631_i00,2018_05_03/B00001426_21I6X0_20180503_073717E.JPG,furniture/table/textile/flooring/floor/material/chair/interior design/couch/linens,a person pouring a liquid into a bowl,round white ceramic plate,Eating
30,u1_20180503_0631_i01,2018_05_03/B00001427_21I6X0_20180503_073741E.JPG,room/table/furniture/interior design/home/dining room/living room/window/house,a hand holding a finger up to a plate of food,white plate on table,Eating
31,u1_20180503_0632_i02,2018_05_03/B00001428_21I6X0_20180503_073804E.JPG,light/brown/textile/furniture/floor/flooring/material/table,a person cutting a piece of fabric,close,Eating
32,u1_20180503_0632_i00,2018_05_03/B00001429_21I6X0_20180503_073826E.JPG,table/furniture/chair,a cup on a table,clear plastic cup on place mat,Eating
33,u1_20180503_0632_i01,2018_05_03/B00001430_21I6X0_20180503_073849E.JPG,room/floor/flooring/table/textile/house/window/interior design/furniture,a table with a flower pattern,brown wooden table with chairs,Eating
34,u1_20180503_0633_i02,2018_05_03/B00001431_21I6X0_20180503_073911E.JPG,room/furniture/table/property/living room/interior design/floor/textile/chair/flooring,a table with a tea set and a pitcher on it,white ceramic mug,Eating
35,u1_20180503_0633_i01,2018_05_03/B00001432_21I6X0_20180503_073933E.JPG,room/property/table/bedroom/furniture/textile/bed sheet/home/tablecloth/interior design,a table with a white cloth and a white vase with flowers on it,white cup on table,Eating
36,u1_20180503_0633_i00,2018_05_03/B00001433_21I6X0_20180503_073956E.JPG,finger/hand/thumb/arm/nail/girl,a person holding a cell phone,person using smartphone,Using a computer
37,u1_20180503_0634_i01,2018_05_03/B00001434_21I6X0_20180503_074019E.JPG,room/property/home/textile/furniture/house/bedroom/interior design/table/product,a person sitting at a table with food and drinks on it,person standing in front of dining table covered in white tablecloth,Eating
38,u1_20180503_0642_i01,2018_05_03/B00001456_21I6X0_20180503_074843E.JPG,car/motor vehicle/vehicle/steering wheel/steering part/automotive design/vehicle door/automotive exterior/mid size car/family car,a person wearing a helmet,black and silver vehicle airbag cover,Traveling
39,u1_20180503_0643_i01,2018_05_03/B00001457_21I6X0_20180503_074900E.JPG,car/motor vehicle/steering part/steering wheel/vehicle/personal luxury car/automotive design/vehicle door/family car/driving,a person holding a steering wheel,person holding steering wheel,Traveling
40,u1_20180503_0643_i00,2018_05_03/B00001458_21I6X0_20180503_074923E.JPG,car/motor vehicle/vehicle/steering wheel/steering part/automotive design/family car/automotive exterior/vehicle door/compact car,a person holding a steering wheel,person holding black Nissan steering wheel,Traveling
41,u1_20180503_0643_i02,2018_05_03/B00001459_21I6X0_20180503_074947E.JPG,motor vehicle/steering wheel/car/vehicle/steering part/automotive design/personal luxury car/family car/volvo cars/luxury vehicle,a steering wheel and dashboard of a car,black Nissan car steering wheel,Traveling
42,u1_20180503_0644_i00,2018_05_03/B00001460_21I6X0_20180503_075009E.JPG,car/steering wheel/motor vehicle/vehicle/steering part/automotive design/family car/personal luxury car/volvo cars/luxury vehicle,the steering wheel and dashboard of a car,black Nissan car steering wheel,Traveling
43,u1_20180503_0644_i01,2018_05_03/B00001461_21I6X0_20180503_075031E.JPG,car/vehicle/motor vehicle/steering wheel/automotive design/steering part/luxury vehicle/center console/volvo cars/family car,the steering wheel and dashboard of a car,black Nissan car steering wheel,Traveling
44,u1_20180503_0644_i02,2018_05_03/B00001462_21I6X0_20180503_075054E.JPG,motor vehicle/car/vehicle/steering wheel/steering part/automotive design/family car/personal luxury car/luxury vehicle/volvo cars,the steering wheel and dashboard of a car,black Nissan car steering wheel,Traveling
45,u1_20180503_0645_i00,2018_05_03/B00001463_21I6X0_20180503_075118E.JPG,motor vehicle/steering wheel/steering part/vehicle/car/automotive design/luxury vehicle/automotive exterior/volvo cars/mid size car,a steering wheel and dashboard of a car,black Nissan car steering wheel,Traveling
46,u1_20180503_0645_i01,2018_05_03/B00001464_21I6X0_20180503_075140E.JPG,motor vehicle/vehicle/steering wheel/car/steering part/automotive design/luxury vehicle/family car/personal luxury car/volvo cars,a steering wheel and dashboard of a car,black Nissan car steering wheel,Traveling
47,u1_20180503_0646_i01,2018_05_03/B00001465_21I6X0_20180503_075202E.JPG,car/motor vehicle/vehicle/steering wheel/steering part/automotive design/family car/center console/gear shift/volvo cars,the steering wheel and dashboard of a car,black Nissan car steering wheel,Traveling
48,u1_20180503_0646_i00,2018_05_03/B00001466_21I6X0_20180503_075226E.JPG,car/motor vehicle/vehicle/steering wheel/steering part/center console/personal luxury car/automotive design/gear shift/technology,a person driving a car,person holding on black steering wheel,Traveling
49,u1_20180503_0646_i02,2018_05_03/B00001467_21I6X0_20180503_075248E.JPG,motor vehicle/car/vehicle/steering wheel/steering part/automotive design/luxury vehicle/personal luxury car/automotive exterior/family car,the steering wheel and dashboard of a car,person holding black Volvo multifunction steering wheel,Traveling
